Class	Category	Original_ID	ENCODE_Target	Assay	Reason
negative	TF	ZKSCAN2	ZKSCAN2	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
negative	TF	ZNF182	ZNF182	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
negative	TF	ZNF22	ZNF22	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
negative	TF	ZNF24	ZNF24	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
negative	TF	ZNF250	ZNF250	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
negative	TF	ZNF354B	ZNF354B	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
negative	TF	ZNF525	ZNF525	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
negative	TF	ZNF613	ZNF613	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
neutral	TF	ATF1	ATF1	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
neutral	TF	DMBX1	DMBX1	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
neutral	TF	HOXA9	HOXA9	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
neutral	TF	NANOG	NANOG	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
neutral	TF	NR4A2	NR4A2	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
neutral	TF	PITX2	PITX2	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
neutral	TF	RFX3	RFX3	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
neutral	TF	SOX1	SOX1	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
neutral	TF	ZNF197	ZNF197	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
neutral	TF	ZNF561	ZNF561	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
neutral	TF	ZNF615	ZNF615	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
neutral	TF	ZNF766	ZNF766	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
positive	RBP	BRUNOL6	CELF6	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
positive	RBP	ENOX1	ENOX1	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
positive	RBP	ESRP2	ESRP2	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
positive	RBP	HNRNPH2	HNRNPH2	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
positive	RBP	PPRC1	PPRC1	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
positive	RBP	RBM24	RBM24	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
positive	RBP	RBM38	RBM38	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
positive	RBP	RBM4	RBM4	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
positive	RBP	RBM45	RBM45	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
positive	RBP	RBM4B	RBM4B	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
positive	RBP	RBM8A	RBM8A	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
positive	RBP	SAMD4A	SAMD4A	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
positive	RBP	SRSF4	SRSF4	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
positive	RBP	SRSF7	SRSF7	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
positive	RBP	ZC3H10	ZC3H10	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
negative	RBP	ANKHD1	ANKHD1	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
negative	RBP	CPEB2	CPEB2	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
negative	RBP	ELAVL2	ELAVL2	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
negative	RBP	ENSG00000215042	ENSG00000215042	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
negative	RBP	Fusip1	SRSF10	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
negative	RBP	HNRNPR	HNRNPR	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
negative	RBP	HNRPDL	HNRPDL	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
negative	RBP	KHDRBS2	KHDRBS2	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
negative	RBP	KHDRBS3	KHDRBS3	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
negative	RBP	MEX3B	MEX3B	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
negative	RBP	MSI1	MSI1	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
negative	RBP	PABPC3	PABPC3	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
negative	RBP	PABPC5	PABPC5	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
negative	RBP	RALY	RALY	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
negative	RBP	RBM28	RBM28	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
negative	RBP	RBM41	RBM41	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
negative	RBP	RBM46	RBM46	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
negative	RBP	RBM5	RBM5	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
negative	RBP	RBM6	RBM6	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
negative	RBP	RBMS1	RBMS1	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
negative	RBP	SNRPA	SNRPA	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
negative	RBP	SNRPB2	SNRPB2	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
negative	RBP	SYNCRIP	SYNCRIP	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
negative	RBP	YB-1	YBX1	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
negative	RBP	ZCRB1	ZCRB1	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
neutral	RBP	BRUNOL4	CELF4	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
neutral	RBP	BRUNOL5	CELF5	shRNA RNA-seq, CRISPRi RNA-seq	No released shRNA RNA-seq, CRISPRi RNA-seq in HepG2/K562/GM12878
