Class	Category	Original_ID	ENCODE_Target	Cell_Line	Experiment	Assay	Selected_File	Assembly	Output_Type	Biological_Replicates	Date_For_Choice	Date_Released	Date_Created	Download_URL	Experiment_Link	File_Link
negative_only	TF	ATF2	ATF2	K562	ENCSR014ARU	TF ChIP-seq	ENCFF121HYT	GRCh38	IDR thresholded peaks	1,2	2022-09-13	2022-09-13	2022-09-03T21:28:28.780718+00:00	https://www.encodeproject.org/files/ENCFF121HYT/@@download/ENCFF121HYT.bed.gz	https://www.encodeproject.org/experiments/ENCSR014ARU/	https://www.encodeproject.org/files/ENCFF121HYT/
negative_only	TF	ATF4	ATF4	K562	ENCSR044UJJ	TF ChIP-seq	ENCFF250MUC	GRCh38	IDR thresholded peaks	1,2	2022-07-28	2022-07-28	2020-07-06T11:04:25.311379+00:00	https://www.encodeproject.org/files/ENCFF250MUC/@@download/ENCFF250MUC.bed.gz	https://www.encodeproject.org/experiments/ENCSR044UJJ/	https://www.encodeproject.org/files/ENCFF250MUC/
negative_only	TF	ATF6	ATF6	K562	ENCSR125RFR	TF ChIP-seq	ENCFF863ZFH	GRCh38	IDR thresholded peaks	1,2	2020-07-08	2020-07-08	2020-07-04T04:26:38.771212+00:00	https://www.encodeproject.org/files/ENCFF863ZFH/@@download/ENCFF863ZFH.bed.gz	https://www.encodeproject.org/experiments/ENCSR125RFR/	https://www.encodeproject.org/files/ENCFF863ZFH/
negative_only	TF	ATF7	ATF7	K562	ENCSR972ZBV	TF ChIP-seq	ENCFF371SJR	GRCh38	optimal IDR thresholded peaks	1,2	2014-07-07	2014-07-07	2016-10-31T16:03:27.289406+00:00	https://www.encodeproject.org/files/ENCFF371SJR/@@download/ENCFF371SJR.bed.gz	https://www.encodeproject.org/experiments/ENCSR972ZBV/	https://www.encodeproject.org/files/ENCFF371SJR/
negative_only	TF	CREB1	CREB1	K562	ENCSR471WXT	TF ChIP-seq	ENCFF970QKS	GRCh38	IDR thresholded peaks	1,2	2022-08-31	2022-08-31	2022-08-27T00:40:10.762699+00:00	https://www.encodeproject.org/files/ENCFF970QKS/@@download/ENCFF970QKS.bed.gz	https://www.encodeproject.org/experiments/ENCSR471WXT/	https://www.encodeproject.org/files/ENCFF970QKS/
negative_only	TF	CREB3	CREB3	K562	ENCSR093FKD	TF ChIP-seq	ENCFF606EUI	GRCh38	optimal IDR thresholded peaks	1,2	2016-03-02	2016-03-02	2016-10-28T01:47:52.868061+00:00	https://www.encodeproject.org/files/ENCFF606EUI/@@download/ENCFF606EUI.bed.gz	https://www.encodeproject.org/experiments/ENCSR093FKD/	https://www.encodeproject.org/files/ENCFF606EUI/
negative_only	TF	CREB5	CREB5	K562	ENCSR935PEA	TF ChIP-seq	ENCFF875JMR	GRCh38	IDR thresholded peaks	1,2	2020-07-20	2020-07-20	2020-07-09T03:19:16.198946+00:00	https://www.encodeproject.org/files/ENCFF875JMR/@@download/ENCFF875JMR.bed.gz	https://www.encodeproject.org/experiments/ENCSR935PEA/	https://www.encodeproject.org/files/ENCFF875JMR/
negative_only	TF	CREM	CREM	K562	ENCSR077DKV	TF ChIP-seq	ENCFF021XJN	GRCh38	optimal IDR thresholded peaks	1,2	2014-07-07	2014-07-07	2016-11-02T23:08:44.550297+00:00	https://www.encodeproject.org/files/ENCFF021XJN/@@download/ENCFF021XJN.bed.gz	https://www.encodeproject.org/experiments/ENCSR077DKV/	https://www.encodeproject.org/files/ENCFF021XJN/
negative_only	TF	DLX4	DLX4	K562	ENCSR017EJY	TF ChIP-seq	ENCFF832DBU	GRCh38	IDR thresholded peaks	1,2	2021-01-06	2021-01-06	2020-11-04T19:24:47.820887+00:00	https://www.encodeproject.org/files/ENCFF832DBU/@@download/ENCFF832DBU.bed.gz	https://www.encodeproject.org/experiments/ENCSR017EJY/	https://www.encodeproject.org/files/ENCFF832DBU/
negative_only	TF	FOXA3	FOXA3	K562	ENCSR788DXU	TF ChIP-seq	ENCFF197SXI	GRCh38	IDR thresholded peaks	1,2	2022-01-13	2022-01-13	2022-01-07T19:40:33.321044+00:00	https://www.encodeproject.org/files/ENCFF197SXI/@@download/ENCFF197SXI.bed.gz	https://www.encodeproject.org/experiments/ENCSR788DXU/	https://www.encodeproject.org/files/ENCFF197SXI/
