Class	Category	Assay	Cell_line	Original_ID	Target	Experiment	Peak_accession	Peak_file	start_in_gene_filter	IR_total_annotated	NonIR_total_annotated	IR_event_region_overlap	NonIR_event_region_overlap	IR_event_region_occupancy_%	NonIR_event_region_occupancy_%	event_region_peak_event_count_IR	event_region_peak_event_count_NonIR	event_region_odds_ratio	event_region_fisher_p_value	IR_intron_only_overlap	NonIR_intron_only_overlap	IR_intron_only_occupancy_%	NonIR_intron_only_occupancy_%	intron_only_peak_event_count_IR	intron_only_peak_event_count_NonIR	intron_only_odds_ratio	intron_only_fisher_p_value
control	RBP	eCLIP	HepG2	FUS	FUS	ENCSR464OSH	ENCFF972DFZ	/rhome/yzhan677/bigdata/eCLIP_HepG2/FUS/FUS_HepG2_ENCSR464OSH_ENCFF972DFZ_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	19	27	3.784860557768925	0.3136981526664343	51	45	12.50057510927076	8.978392599140543e-13	11	0	2.1912350597609564	0.0	40	0	inf	1.2831254513701352e-14
control	RBP	eCLIP	HepG2	hnRNPK	HNRNPK	ENCSR828ZID	ENCFF855CPQ	/rhome/yzhan677/bigdata/eCLIP_HepG2/HNRNPK/HNRNPK_HepG2_ENCSR828ZID_ENCFF855CPQ_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	96	410	19.12350597609562	4.763564540490298	206	825	4.727333894028596	1.8532703816222454e-28	52	45	10.358565737051793	0.5228302544440572	82	60	21.98637037037037	2.7474653262472858e-40
control	RBP	eCLIP	HepG2	TARDBP	TARDBP	ENCSR187VEQ	ENCFF673QBV	/rhome/yzhan677/bigdata/eCLIP_HepG2/TARDBP/TARDBP_HepG2_ENCSR187VEQ_ENCFF673QBV_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	35	866	6.97211155378486	10.061577785523411	88	2278	0.6699314082814486	0.0253623208099615	15	82	2.98804780876494	0.9527129080980598	37	140	3.202158561626684	0.0002499963765287
control	RBP	eCLIP	K562	FUS	FUS	ENCSR069EVH	ENCFF861KMV	/rhome/yzhan677/bigdata/eCLIP_K562/FUS/FUS_K562_ENCSR069EVH_ENCFF861KMV_GRCh38_rep1-2.narrowPeak.bed	yes	2645	5737	113	73	4.272211720226843	1.2724420428795538	380	236	3.462702071025125	1.4674074179277223e-16	57	5	2.155009451795841	0.0871535645807913	208	8	25.24914992272025	1.9306976904494232e-23
control	RBP	eCLIP	K562	FXR1	FXR1	ENCSR248TXP	ENCFF136CWQ	/rhome/yzhan677/bigdata/eCLIP_K562/FXR1/FXR1_K562_ENCSR248TXP_ENCFF136CWQ_GRCh38_rep1-2.narrowPeak.bed	yes	2645	5737	27	285	1.0207939508506616	4.967753181105107	54	2356	0.1972900164850629	9.128612686992101e-23	4	42	0.1512287334593572	0.7320899424786473	5	51	0.2053695389553019	0.0003619450054005
control	RBP	eCLIP	K562	hnRNPK	HNRNPK	ENCSR953ZOA	ENCFF318RSO	/rhome/yzhan677/bigdata/eCLIP_K562/HNRNPK/HNRNPK_K562_ENCSR953ZOA_ENCFF318RSO_GRCh38_rep1-2.narrowPeak.bed	yes	2645	5737	197	167	7.448015122873346	2.910929056998431	667	389	2.684068138233337	1.2820445185375984e-19	90	12	3.402646502835539	0.2091685549938992	260	19	16.80528375733855	4.962813078580553e-33
control	RBP	eCLIP	K562	TARDBP	TARDBP	ENCSR720BJU	ENCFF593RED	/rhome/yzhan677/bigdata/eCLIP_K562/TARDBP/TARDBP_K562_ENCSR720BJU_ENCFF593RED_GRCh38_rep1-2.narrowPeak.bed	yes	2645	5737	131	246	4.952741020793951	4.287955377374934	312	358	1.1631142027410728	0.1738749529088474	64	22	2.4196597353497165	0.3834756841554819	185	25	6.441477933147828	2.8743950605030167e-16
