Category	Class	Class_label	n	mean_log2_ratio	sd_log2_ratio	sem_log2_ratio	q1_log2_ratio	median_log2_ratio	q3_log2_ratio	whisker_low_log2_ratio	whisker_high_log2_ratio	mean_difference_ir_found_minus_control	permutation_p_value_mean_difference_two_sided	permutation_method	permutations
TF	positive_only	IR TFs	20	0.7155442654594231	0.4478290470355443	0.10013761914704278	0.44626898590090025	0.6515552058657987	0.900547667641011	-0.2641173297953182	1.6402952543096811	0.5847963960834975	0.001105997788004424	monte_carlo	500000
TF	control	control TFs	21	0.13074786937592556	0.6052911544901001	0.13208535871133778	-0.1858278635304437	-0.0483277686544042	0.4167974320583678	-0.7758673021861278	1.9815705553311609	0.5847963960834975	0.001105997788004424	monte_carlo	500000
RBP	positive_only	IR RBPs	10	1.7193703167142385	0.9523278098642204	0.3011524958290704	1.2222230119225639	1.5513202594236786	1.9259625865905559	0.6162179000792994	4.061858344288797	0.8413573329091373	0.2534965034965035	exact	19448
RBP	control	control RBPs	7	0.8780129838051012	1.910065824770901	0.7219370228724685	-0.1510254937500059	1.3544264642093182	1.8759387235929554	-2.259252315348196	3.601090278088686	0.8413573329091373	0.2534965034965035	exact	19448
