Class	Category	Assay	Cell_line	Original_ID	Target	Experiment	Peak_accession	Peak_file	start_in_gene_filter	IR_total_annotated	NonIR_total_annotated	IR_event_region_overlap	NonIR_event_region_overlap	IR_event_region_occupancy_%	NonIR_event_region_occupancy_%	event_region_peak_event_count_IR	event_region_peak_event_count_NonIR	event_region_odds_ratio	event_region_fisher_p_value	IR_intron_only_overlap	NonIR_intron_only_overlap	IR_intron_only_occupancy_%	NonIR_intron_only_occupancy_%	intron_only_peak_event_count_IR	intron_only_peak_event_count_NonIR	intron_only_odds_ratio	intron_only_fisher_p_value	Source_File	metric	IR_occupancy_rate_corrected	NonIR_occupancy_rate_corrected	occupancy_ratio_corrected	log2_IR_vs_nonIR_occupancy_ratio	delta_occupancy_%	raw_occupancy_ratio	minus_log10_fisher_p
positive_only	TF	TF ChIP-seq	GM12878	E2F8	E2F8	ENCSR793HVL	ENCFF412GFI	/rhome/yzhan677/bigdata/ChIP-seq_GM12878/E2F8/E2F8_GM12878_ENCSR793HVL_ENCFF412GFI_GRCh38_rep1-2.narrowPeak.bed	yes	2995	6877	80	177	2.671118530884808	2.573796713683292	102	273	1.0388502873312595	0.7835122831500986	31	24	1.0350584307178632	0.3489893849062091	35	27	2.986434435447593	8.45929051671045e-05	C:\Users\Yusen Zhang\Downloads\baseline_like_overlap_three_class_summary.tsv	event_region	0.026869158878504672	0.025806920616458274	1.0411609845991838	0.05819315579061228	0.09732181720151578	1.0378125501070523	0.10595419069188963
positive_only	TF	TF ChIP-seq	GM12878	KLF5	KLF5	ENCSR974OFJ	ENCFF417WPC	/rhome/yzhan677/bigdata/ChIP-seq_GM12878/KLF5/KLF5_GM12878_ENCSR974OFJ_ENCFF417WPC_GRCh38_rep1-2.narrowPeak.bed	yes	2995	6877	121	306	4.040066777963272	4.449614657554166	176	490	0.9040837165299894	0.3892373244534007	50	42	1.669449081803005	0.6107314235858659	64	47	2.7629557765381194	1.773834786615263e-06	C:\Users\Yusen Zhang\Downloads\baseline_like_overlap_three_class_summary.tsv	event_region	0.04055407209612817	0.04456237278278569	0.910051901719966	-0.13597926801696075	-0.4095478795908942	0.9079587984331183	0.4097855213663323
positive_only	TF	TF ChIP-seq	GM12878	REST	REST	ENCSR000BQS	ENCFF313CII	/rhome/yzhan677/bigdata/ChIP-seq_GM12878/REST/REST_GM12878_ENCSR000BQS_ENCFF313CII_GRCh38_rep1-2.narrowPeak.bed	yes	2995	6877	37	143	1.2353923205342237	2.0793950850661624	40	150	0.5890343598254348	0.0040379083538236	17	24	0.5676126878130217	0.3489893849062091	17	24	1.6300229460488025	0.1271594347430169	C:\Users\Yusen Zhang\Downloads\baseline_like_overlap_three_class_summary.tsv	event_region	0.012516688918558077	0.020863623146263447	0.5999288249605746	-0.737136744111767	-0.8440027645319388	0.5941113977841858	2.393843542222585
positive_only	TF	TF ChIP-seq	HepG2	E2F8	E2F8	ENCSR634GEO	ENCFF780JMA	/rhome/yzhan677/bigdata/ChIP-seq_HepG2/E2F8/E2F8_HepG2_ENCSR634GEO_ENCFF780JMA_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	58	727	11.553784860557768	8.446613221796213	99	1287	1.4159138505768492	0.0215534980022479	26	162	5.179282868525896	1.8821889159986056	39	193	2.847416744475568	1.228661319740906e-05	C:\Users\Yusen Zhang\Downloads\baseline_like_overlap_three_class_summary.tsv	event_region	0.11630218687872763	0.08451440520446096	1.3761226455698798	0.46060905453885553	3.107171638761555	1.3678600590759382	1.6664822364177836
positive_only	TF	TF ChIP-seq	HepG2	KLF11	KLF11	ENCSR616OSG	ENCFF443QKY	/rhome/yzhan677/bigdata/ChIP-seq_HepG2/KLF11/KLF11_HepG2_ENCSR616OSG_ENCFF443QKY_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	30	359	5.9760956175298805	4.1710235854537006	42	600	1.4602709975921817	0.0677922844814125	13	64	2.589641434262948	0.7435808063204369	20	72	3.5486643660531696	0.0002643483499201	C:\Users\Yusen Zhang\Downloads\baseline_like_overlap_three_class_summary.tsv	event_region	0.06063618290258449	0.041763475836431224	1.451895027609033	0.5379371498746857	1.80507203207618	1.4327647626763143	1.1688197308795438
positive_only	TF	TF ChIP-seq	HepG2	KLF12	KLF12	ENCSR552YWL	ENCFF124UUN	/rhome/yzhan677/bigdata/ChIP-seq_HepG2/KLF12/KLF12_HepG2_ENCSR552YWL_ENCFF124UUN_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	39	385	7.768924302788845	4.473103288021378	59	584	1.79887240189616	0.001453622355986	20	73	3.98406374501992	0.8481468572092483	25	98	4.850792929005855	1.1293966744176348e-07	C:\Users\Yusen Zhang\Downloads\baseline_like_overlap_three_class_summary.tsv	event_region	0.07852882703777336	0.0447839219330855	1.7535049108719925	0.8102414710131657	3.2958210147674665	1.7368086097169761	2.837548406416384
positive_only	TF	TF ChIP-seq	HepG2	KLF13	KLF13	ENCSR756SZU	ENCFF494FXL	/rhome/yzhan677/bigdata/ChIP-seq_HepG2/KLF13/KLF13_HepG2_ENCSR756SZU_ENCFF494FXL_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	28	157	5.577689243027888	1.8240966655048216	29	191	3.1793383321239483	9.273341024490392e-07	13	27	2.589641434262948	0.3136981526664343	13	32	8.448079981822312	1.1299877432272453e-07	C:\Users\Yusen Zhang\Downloads\baseline_like_overlap_three_class_summary.tsv	event_region	0.05666003976143141	0.01829693308550186	3.096696014389851	1.6307297685285598	3.753592577523066	3.0577816124038875	6.03276376886676
positive_only	TF	TF ChIP-seq	HepG2	KLF15	KLF15	ENCSR860ONE	ENCFF663PTR	/rhome/yzhan677/bigdata/ChIP-seq_HepG2/KLF15/KLF15_HepG2_ENCSR860ONE_ENCFF663PTR_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	24	134	4.780876494023905	1.5568723132334146	34	190	3.1747954786735777	5.24077599134736e-06	7	26	1.394422310756972	0.3020797025676774	12	31	4.667210567210567	0.0018064578919807	C:\Users\Yusen Zhang\Downloads\baseline_like_overlap_three_class_summary.tsv	event_region	0.048707753479125246	0.015625	3.1172962226640157	1.6402952543096811	3.22400418079049	3.070821192840578	5.280604403129094
positive_only	TF	TF ChIP-seq	HepG2	KLF16	KLF16	ENCSR913KJZ	ENCFF194QYM	/rhome/yzhan677/bigdata/ChIP-seq_HepG2/KLF16/KLF16_HepG2_ENCSR913KJZ_ENCFF194QYM_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	8	78	1.593625498007968	0.9062391077030324	13	84	1.7707879165369045	0.1458272445756938	3	17	0.5976095617529881	0.197513651678866	8	17	3.0378403866556645	0.0945496191089062	C:\Users\Yusen Zhang\Downloads\baseline_like_overlap_three_class_summary.tsv	event_region	0.016898608349900597	0.009119423791821561	1.8530346582922845	0.8898898651098095	0.6873863903049356	1.7585044437634079	0.8361613301776598
positive_only	TF	TF ChIP-seq	HepG2	MYRF	MYRF	ENCSR792MZV	ENCFF158PPW	/rhome/yzhan677/bigdata/ChIP-seq_HepG2/MYRF/MYRF_HepG2_ENCSR792MZV_ENCFF158PPW_GRCh38_rep1-2.narrowPeak.bed	yes	502	8607	20	208	3.98406374501992	2.41663762054142	28	266	1.6755106926268752	0.0380580566210075	8	27	1.593625498007968	0.3136981526664343	11	32	5.146198830409356	0.0005049196524098	C:\Users\Yusen Zhang\Downloads\baseline_like_overlap_three_class_summary.tsv	event_region	0.040755467196819085	0.024221654275092937	1.6826046121353415	0.7506962039245172	1.5674261244784997	1.6485979160281945	1.41955339209527
